# 港台频道白名单（本地验证可播，避免海外测速误杀）
# 格式：频道名称,接口地址
香港卫视,http://cctvtxyh5c.liveplay.myqcloud.com/cstv/xianggangweishi_2/index.m3u8
TVBS新闻台,http://61.221.215.25:8800/hls/9/index.m3u8
TVBS亚洲,http://38.64.72.148/hls/modn/list/4005/chunklist1.m3u8
GTV八大第1台HD,http://61.221.215.25:8800/hls/55/index.m3u8
GTV八大戲劇HD,http://61.221.215.25:8800/hls/39/index.m3u8
GTV八大綜合台HD,http://61.221.215.25:8800/hls/56/index.m3u8
SET三立戲劇,http://61.221.215.25:8800/hls/41/index.m3u8
中天娱乐,http://61.221.215.25:8800/hls/47/index.m3u8
緯來精采HD,http://61.221.215.25:8800/hls/48/index.m3u8
AMC電影台,http://61.221.215.25:8800/hls/43/index.m3u8
中華小當家,http://61.221.215.25:8800/hls/40/index.m3u8
Discovery探索頻道,http://61.221.215.25:8800/hls/1/index.m3u8
Discovery探索亞洲,http://61.221.215.25:8800/hls/50/index.m3u8
動物星球,http://61.221.215.25:8800/hls/57/index.m3u8
NHK WORLD,http://61.221.215.25:8800/hls/51/index.m3u8
音樂欣賞1,http://61.221.215.25:8800/hls/49/index.m3u8
音樂欣賞2,http://61.221.215.25:8800/hls/58/index.m3u8
东森超视34.5,http://38.64.72.148:80/hls/modn/list/2013/chunklist1.m3u8
东森美洲卫视,http://38.64.72.148:80/hls/modn/list/2015/chunklist0.m3u8
民视新闻台,http://38.64.72.148/hls/modn/list/4012/chunklist1.m3u8
台视新闻 HD,http://38.64.72.148/hls/modn/list/4013/chunklist0.m3u8
